R#,NAME,TOTAL,POS,TEAM,GP,PTS,TREB,AST,STL,BLK,FGM,FTM,TO,DD,TD
26,Damian Lillard,50.4,PG,MIL,73,24.3,4.4,7,1,0.2,7.4,6.5,2.6,0.2,0
27,Bam Adebayo,49.9,C,MIA,71,19.3,10.4,3.9,1.1,0.9,7.5,4.1,2.3,0.6,0
28,Kawhi Leonard,49.8,"SG,SF,PF",LAC,68,23.7,6.1,3.6,1.6,0.9,9,3.7,1.8,0.1,0
29,Tyrese Haliburton,49.5,"PG,SG",IND,69,20.1,3.9,10.9,1.2,0.7,7.3,2.8,2.3,0.6,0
30,Zion Williamson,49.4,"PF,C",NO,70,22.9,5.8,5,1.1,0.7,8.9,5,2.8,0.2,0
31,Paolo Banchero,48.9,"SF,PF",ORL,80,22.6,6.9,5.4,0.9,0.6,8,5.1,3.1,0.2,0
32,Stephen Curry,48.7,"PG,SG",GS,74,26.4,4.5,5.1,0.7,0.4,8.8,4,2.8,0.1,0
33,Lauri Markkanen,48.6,"SF,PF",UTA,55,23.2,8.2,2,0.9,0.5,7.8,4.5,1.4,0.3,0
34,Dejounte Murray,47.8,"PG,SG",ATL,78,22.5,5.3,6.4,1.4,0.3,8.6,2.7,2.6,0.3,0
35,Cade Cunningham,47,"PG,SG",DET,62,22.7,4.3,7.5,0.9,0.4,8.5,3.8,3.4,0.2,0
36,Jaren Jackson Jr.,46.9,"PF,C",MEM,66,22.5,5.5,2.3,1.2,1.6,7.8,5.1,2.4,0.1,0
37,Karl-Anthony Towns,46.8,"PF,C",MIN,62,21.8,8.3,3,0.7,0.7,7.7,4.1,2.9,0.4,0
38,Pascal Siakam,46.6,"PF,C",IND,80,21.7,7.1,4.3,0.8,0.3,8.5,3.6,1.8,0.2,0
39,Jimmy Butler,46.3,"SF,PF",MIA,60,20.8,5.3,5,1.3,0.3,6.6,6.6,1.7,0.1,0
40,Desmond Bane,46.3,"SG,SF",MEM,42,23.7,4.4,5.5,1,0.5,8.6,3.3,2.7,0.1,0
41,Jaylen Brown,45.6,"SG,SF",BOS,70,23,5.5,3.6,1.2,0.5,9,3,2.4,0.1,0
42,Nikola Vucevic,45.3,C,CHI,76,18,10.5,3.3,0.7,0.8,7.7,1.4,1.6,0.6,0
43,Kristaps Porzingis,45.2,"PF,C",BOS,57,20.1,7.2,2,0.7,1.9,6.8,4.5,1.6,0.2,0
44,Kyle Kuzma,45.1,"SF,PF",WAS,70,22.2,6.6,4.2,0.5,0.7,8.7,2.7,2.7,0.2,0
45,Jamal Murray,44.8,"PG,SG",DEN,59,21.2,4.1,6.5,1,0.7,8,2.7,2.1,0.2,0
46,Paul George,44.7,"SG,SF,PF",LAC,74,22.6,5.2,3.5,1.5,0.5,7.9,3.6,2.1,0,0
47,Miles Bridges,44.5,"SF,PF",CHA,69,21,7.3,3.3,0.9,0.5,8.1,2.5,2,0.3,0
48,Rudy Gobert,44.3,C,MIN,76,14,12.9,1.3,0.7,2.1,5.3,3.3,1.6,0.7,0
49,Jarrett Allen,43.9,C,CLE,77,16.5,10.5,2.7,0.7,1.1,6.7,3,1.6,0.5,0
50,Brandon Ingram,43.5,"SG,SF,PF",NO,64,20.8,5.1,5.7,0.8,0.6,7.8,3.8,2.5,0,0
51,Deandre Ayton,43.2,C,POR,55,16.7,11.1,1.6,1,0.8,7.8,1.2,1.8,0.6,0
52,Evan Mobley,42,"PF,C",CLE,50,15.7,9.4,3.2,0.9,1.4,6.4,2.5,1.8,0.4,0
53,Anfernee Simons,42,"PG,SG",POR,46,22.6,3.6,5.5,0.5,0.1,7.8,3.5,2.7,0.1,0
54,James Harden,42,"PG,SG",LAC,72,16.6,5.1,8.5,1.1,0.8,4.9,4.2,2.6,0.3,0
55,Fred VanVleet,42,PG,HOU,73,17.4,3.8,8.1,1.4,0.8,5.8,2.7,1.7,0.3,0
56,Chet Holmgren,41.4,"PF,C",OKC,82,16.5,7.9,2.4,0.6,2.3,6.2,2.7,1.6,0.3,0
57,Franz Wagner,40.9,"SG,SF,PF",ORL,72,19.7,5.3,3.7,1.1,0.4,7.3,3.8,1.9,0,0
58,Terry Rozier,40.9,"PG,SG",MIA,61,19.8,4,5.6,1,0.3,7.3,2.8,1.7,0.1,0
59,Cam Thomas,40.8,"SG,SF",BKN,66,22.5,3.2,2.9,0.7,0.2,8,4.3,1.9,0,0
60,Jalen Johnson,40.3,"SF,PF",ATL,56,16,8.7,3.6,1.2,0.8,6.4,1.9,1.8,0.3,0
61,Tyler Herro,40,"PG,SG",MIA,42,20.8,5.3,4.5,0.7,0.1,7.7,2.3,2.2,0,0
62,Jerami Grant,39.8,"SF,PF",POR,54,21,3.5,2.8,0.8,0.6,7.1,4.7,2.1,0,0
63,Jalen Duren,39.8,C,DET,61,13.8,11.6,2.4,0.5,0.8,5.7,2.3,2.1,0.7,0
64,RJ Barrett,39.6,"SG,SF",TOR,58,20.2,5.4,3.3,0.5,0.4,7.5,3.6,2.2,0,0
65,Jalen Williams,39.4,"SG,SF,PF",OKC,71,19.1,4,4.5,1.1,0.6,7.6,2.5,1.7,0,0
66,CJ McCollum,39.2,"PG,SG",NO,66,20,4.3,4.6,0.9,0.6,7.3,1.7,1.7,0,0
67,Myles Turner,39.1,C,IND,77,17.1,6.9,1.3,0.5,1.9,6.2,3.2,1.4,0.2,0
68,Zach LaVine,39,"SG,SF",CHI,25,19.5,5.2,3.9,0.8,0.3,6.8,3.5,2.1,0,0
69,Jalen Green,39,"PG,SG",HOU,82,19.6,5.1,3.5,0.8,0.3,6.9,3.5,2.3,0.1,0
70,Tobias Harris,38.7,"SF,PF",PHI,70,17.2,6.5,3.1,1,0.7,6.6,2.7,1.3,0.1,0
71,Coby White,38.6,"PG,SG",CHI,79,19.1,4.5,5.1,0.7,0.2,6.9,2.8,2.1,0.1,0
72,Mikal Bridges,38.6,"SG,SF,PF",BKN,82,19.6,4.5,3.6,1,0.4,6.9,3.2,2,0,0
73,Devin Vassell,38.3,"SG,SF",SA,68,19.5,3.8,4.1,1.1,0.3,7.3,2.4,1.6,0,0
74,Bradley Beal,37.8,"PG,SG",PHO,53,18.2,4.4,5,1,0.5,7.1,2.1,2.5,0.1,0
75,D'Angelo Russell,37.2,"PG,SG",LAL,76,18,3.1,6.3,0.9,0.5,6.5,2.1,2.1,0.1,0
